index,state,total
1,Alaska,5216
2,Arizona,42259
3,Arkansas,17874
4,California,136088
5,Colorado,20646
6,Connecticut,16636
7,Delaware,6955
8,Florida,102870
9,Georgia,52949
10,Hawaii,5866
11, Idaho,8117
12, Illinois,48278
13,Indiana,29271
14,Iowa,8838
15,Kansas,9663
16,Kentucky,21657
17,Louisiana,38030
18, Maine,2242
19, Maryland,21011
20,Massachusetts,10713
21,Michigan,43390
22,Minnesota,10637
23,Mississippi,18793
24,Missouri,31942
25,Montana,3699
26,Nebraska,5441
27,Nevada,12537
28,New Hampshire,2963
29,New Jersey,21590
30,New Mexico,7021
31,New York,52518
32,North Carolina,37096
33,North Dakota,1718
34,Ohio,51519
35,Oklahoma,27650
36,Oregon,15075
37,Pennsylvania,50694
38,Rhode Island,3359
39,South Carolina,21401
40,South Dakota,3608
41,Tennessee,28769
42,Texas,166043
42,Utahc,7026
44,Vermont,1979
45,Virginia,37544
46,Washington,18120
47,West Virginia,6896
48,Wisconsing,22597
49,Wyoming,2383
